 +-----------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                     |   Total  |       Mean      |   rms   |  min |   max  |
 | *AllStreams/Phys/B2D0KD2HHHHBeauty2CharmLine/Particle2VertexRelations                        |       21 |      21         |         |      |        |
 | *AllStreams/Phys/B2D0KD2HHHHBeauty2CharmLine/Particles                                       |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2D0KD2HHHHBeauty2CharmLine/decayVertices                                   |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2D0PiD2HHHHBeauty2CharmLine/Particle2VertexRelations                       |       20 |      20         |         |      |        |
 | *AllStreams/Phys/B2D0PiD2HHHHBeauty2CharmLine/Particles                                      |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2D0PiD2HHHHBeauty2CharmLine/decayVertices                                  |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2HHBkgLine/Particle2VertexRelations                                        |        3 |       3         |         |      |        |
 | *AllStreams/Phys/B2HHBkgLine/Particles                                                       |        1 |       1         |         |      |        |
 | *AllStreams/Phys/B2HHBkgLine/decayVertices                                                   |        1 |       1         |         |      |        |
 | *AllStreams/Phys/B2KShhDDLine/Particle2VertexRelations                                       |       18 |     9.0+-2.1    | 3.0     |    6 | 12     |
 | *AllStreams/Phys/B2KShhDDLine/Particles                                                      |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/B2KShhDDLine/decayVertices                                                  |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/B2XEtaB2etaKSDDLine/Particle2VertexRelations                                |       52 |     8.7+-0.4    | 0.9     |    8 | 10     |
 | *AllStreams/Phys/B2XEtaB2etaKSDDLine/Particles                                               |       12 |       2         |         |      |        |
 | *AllStreams/Phys/B2XEtaB2etaKSDDLine/decayVertices                                           |       12 |       2         |         |      |        |
 | *AllStreams/Phys/B2XEtaB2etaKSLLLine/Particle2VertexRelations                                |       69 |    11.5+-1.1    | 2.6     |    9 | 17     |
 | *AllStreams/Phys/B2XEtaB2etaKSLLLine/Particles                                               |       12 |       2         |         |      |        |
 | *AllStreams/Phys/B2XEtaB2etaKSLLLine/decayVertices                                           |       12 |       2         |         |      |        |
 | *AllStreams/Phys/B2XMuMu_Kstar_SubPIDAlg2/Particles                                          |        2 |       2         |         |      |        |
 | *AllStreams/Phys/B2XMuMu_Lambdastar_SubPIDAlg1/Particles                                     |        4 |       2         |         |      |        |
 | *AllStreams/Phys/B2XMuMu_Lambdastar_SubPIDAlg2/Particles                                     |        2 |       2         |         |      |        |
 | *AllStreams/Phys/B2XMuMu_Line/Particle2VertexRelations                                       |       72 |    36.0+-9.2    | 13.0    |   23 | 49     |
 | *AllStreams/Phys/B2XMuMu_Line/Particles                                                      |        9 |     4.5+-2.5    | 3.5     |    1 | 8      |
 | *AllStreams/Phys/B2XMuMu_Line/decayVertices                                                  |        9 |     4.5+-2.5    | 3.5     |    1 | 8      |
 | *AllStreams/Phys/B2XMuMu_Phi_SubPIDAlg/Particles                                             |        2 |       2         |         |      |        |
 | *AllStreams/Phys/B2XuMuNuBs2KSSLine/Particle2VertexRelations                                 |        4 |       4         |         |      |        |
 | *AllStreams/Phys/B2XuMuNuBs2KSSLine/Particles                                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/B2XuMuNuBs2KSSLine/_RefitPVs                                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/B2XuMuNuBs2KSSLine/decayVertices                                            |        1 |       1         |         |      |        |
 | *AllStreams/Phys/B2hhLTUnbiasedDetachedLooseKaonSel/Particles                                |       59 |     2.0+-0.0    | 0.2     |    2 | 3      |
 | *AllStreams/Phys/B2hhLTUnbiasedDetachedLooseLine/Particle2VertexRelations                    |       91 |     3.1+-0.1    | 0.4     |    3 | 5      |
 | *AllStreams/Phys/B2hhLTUnbiasedDetachedLooseLine/Particles                                   |       30 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *AllStreams/Phys/B2hhLTUnbiasedDetachedLooseLine/decayVertices                               |       30 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *AllStreams/Phys/B2hhLTUnbiasedLoose/decayVertices                                           |       10 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/B2hhLTUnbiasedLooseKaonSel/Particles                                        |     1009 |     2.4+-0.0    | 1.0     |    2 | 9      |
 | *AllStreams/Phys/B2hhLTUnbiasedLooseLine/Particle2VertexRelations                            |     1605 |     3.8+-0.1    | 1.8     |    3 | 16     |
 | *AllStreams/Phys/B2hhLTUnbiasedLooseLine/Particles                                           |      546 |     1.3+-0.0    | 0.7     |    1 | 7      |
 | *AllStreams/Phys/B2hhLTUnbiasedLooseLine/decayVertices                                       |      546 |     1.3+-0.0    | 0.7     |    1 | 7      |
 | *AllStreams/Phys/B2hhLTUnbiasedNeuroBayesLine/Particle2VertexRelations                       |       33 |     3.7+-0.5    | 1.6     |    3 | 8      |
 | *AllStreams/Phys/B2hhLTUnbiasedNeuroBayesLine/Particles                                      |       10 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/Bd2DTauNuWSForB2XTauNu/Particle2VertexRelations                             |       17 |      17         |         |      |        |
 | *AllStreams/Phys/Bd2DTauNuWSForB2XTauNu/Particles                                            |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Bd2DTauNuWSForB2XTauNu/decayVertices                                        |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Bd2JpsiPi0BetaS/_RefitPVs                                                   |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Bd2JpsieeKstarLine/Particle2VertexRelations                                 |       45 |      45         |         |      |        |
 | *AllStreams/Phys/Bd2JpsieeKstarLine/Particles                                                |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Bd2JpsieeKstarLine/decayVertices                                            |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarBDTLine/Particle2VertexRelations                                  |       28 |    14.0+-4.9    | 7.0     |    7 | 21     |
 | *AllStreams/Phys/Bd2eeKstarBDTLine/Particles                                                 |        2 |       1         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarBDTLine/decayVertices                                             |        2 |       1         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarBDTLine2/Particle2VertexRelations                                 |       28 |    14.0+-4.9    | 7.0     |    7 | 21     |
 | *AllStreams/Phys/Bd2eeKstarBDTLine2/Particles                                                |        2 |       1         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarBDTLine2/decayVertices                                            |        2 |       1         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarLine/Particle2VertexRelations                                     |       11 |      11         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarLine/Particles                                                    |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Bd2eeKstarLine/decayVertices                                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSBd2JpsiPi0DetachedLine/Particle2VertexRelations                        |        7 |       7         |         |      |        |
 | *AllStreams/Phys/BetaSBd2JpsiPi0DetachedLine/Particles                                       |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSBd2JpsiPi0DetachedLine/decayVertices                                   |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSBs2PhiKstNominalLine/Particle2VertexRelations                          |       15 |      15         |         |      |        |
 | *AllStreams/Phys/BetaSBs2PhiKstNominalLine/Particles                                         |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSBs2PhiKstNominalLine/_RefitPVs                                         |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSBs2PhiKstNominalLine/decayVertices                                     |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSJpsi2MuMuDetachedLine/Particle2VertexRelations                         |        4 |       4         |         |      |        |
 | *AllStreams/Phys/BetaSJpsi2MuMuDetachedLine/Particles                                        |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSJpsi2MuMuDetachedLine/decayVertices                                    |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSJpsi2MuMuLine/Particle2VertexRelations                                 |        4 |       4         |         |      |        |
