 +------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                |   Total  |       Mean      |   rms   |  min |   max  |
 | *Charm/Phys/B2ppipiSigmacmm_Lcpi_PartReco_Line/Particle2VertexRelations                 |     1146 |    10.6+-0.6    | 5.8     |    6 | 40     |
 | *Charm/Phys/B2ppipiSigmacmm_Lcpi_PartReco_Line/Particles                                |      181 |     1.7+-0.1    | 1.4     |    1 | 13     |
 | *Charm/Phys/B2ppipiSigmacmm_Lcpi_PartReco_Line/decayVertices                            |      181 |     1.7+-0.1    | 1.4     |    1 | 13     |
 | *Charm/Phys/Bbbar2PhiPhiLine/Particle2VertexRelations                                   |       70 |       7         |         |      |        |
 | *Charm/Phys/Bbbar2PhiPhiLine/Particles                                                  |       10 |       1         |         |      |        |
 | *Charm/Phys/Bbbar2PhiPhiLine/_RefitPVs                                                  |       10 |       1         |         |      |        |
 | *Charm/Phys/Bbbar2PhiPhiLine/decayVertices                                              |       10 |       1         |         |      |        |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Cone1                                               |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Cone2                                               |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Cone3                                               |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Cone4                                               |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Cone5                                               |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Particle2VertexRelations                            |     1348 |    13.0+-0.8    | 7.7     |    7 | 49     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/Particles                                           |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetac2LcKS0Line/decayVertices                                       |      260 |     2.5+-0.3    | 2.9     |    1 | 23     |
 | *Charm/Phys/BetacHHHBetacLb1Line/Cone1                                                  |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
 | *Charm/Phys/BetacHHHBetacLb1Line/Cone2                                                  |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
